Model,Train MAE,Val MAE,Train RMSE,Val RMSE,Train R²,Val R²,Val MAPE (%),Train Time (s)
random_forest,0.8764738414849069,1.1287971299678878,2.9159197994049877,3.8475483142990172,0.9711764829355383,0.9517373656496585,6.168391577656934,5.57702112197876
xgboost,1.0195850756199838,1.1333519544662476,2.744945413337191,3.694024963484347,0.9744575090741306,0.9555120379618302,6.136320865772324,0.9390451908111572
lightgbm,1.0754560894941263,1.1425206698914474,3.1541560286392887,3.7635988548005637,0.9662742070785587,0.9538204693163008,6.1664544149433915,1.0050945281982422
gradient_boosting,1.0499168357231068,1.14448640533941,2.9685136748657723,3.824429752260337,0.9701273376002754,0.9523156095094051,6.177247601045446,24.458611488342285
lasso,1.9268103004115638,1.9905081255391002,4.967910805170413,5.328702031943713,0.9163350795105689,0.9074267028829602,11.278240117722504,0.03679037094116211
ridge,1.934111262350162,1.991125225731913,4.953827086093223,5.309143854985096,0.9168087768294032,0.9081050077371271,11.24960989352047,0.01533365249633789
linear_regression,1.9341164843936198,1.9911299112481076,4.953827085759618,5.309142279113253,0.9168087768406079,0.9081050622900695,11.249627593483174,0.05878424644470215
